sec,nanosec,latitude,longitude,datetime
1749195220,334411,43.5140401,16.2502976,2025-06-06T07:33:40.000335+00:00
1749195220,250334268,43.5140401,16.2502977,2025-06-06T07:33:40.250334+00:00
1749195220,500334125,43.5140401,16.2502977,2025-06-06T07:33:40.500334+00:00
1749195220,750333982,43.5140401,16.2502977,2025-06-06T07:33:40.750334+00:00
1749195221,333839,43.5140401,16.2502978,2025-06-06T07:33:41.000334+00:00
1749195221,250333696,43.5140402,16.2502978,2025-06-06T07:33:41.250334+00:00
1749195221,500333553,43.5140403,16.2502979,2025-06-06T07:33:41.500334+00:00
1749195221,750333410,43.5140404,16.2502981,2025-06-06T07:33:41.750333+00:00
1749195222,333267,43.5140404,16.2502982,2025-06-06T07:33:42.000333+00:00
1749195222,250333124,43.5140405,16.2502982,2025-06-06T07:33:42.250333+00:00
1749195222,500332981,43.5140404,16.2502984,2025-06-06T07:33:42.500333+00:00
1749195222,750332838,43.5140404,16.2502984,2025-06-06T07:33:42.750333+00:00
1749195223,332695,43.5140405,16.2502985,2025-06-06T07:33:43.000333+00:00
1749195223,250332552,43.5140405,16.2502986,2025-06-06T07:33:43.250333+00:00
1749195223,500332408,43.5140405,16.2502986,2025-06-06T07:33:43.500332+00:00
1749195223,750332265,43.5140406,16.2502986,2025-06-06T07:33:43.750332+00:00
1749195224,332122,43.5140407,16.2502985,2025-06-06T07:33:44.000332+00:00
1749195224,250331979,43.5140408,16.2502986,2025-06-06T07:33:44.250332+00:00
1749195224,500331835,43.5140410,16.2502988,2025-06-06T07:33:44.500332+00:00
1749195224,750331692,43.5140411,16.2502990,2025-06-06T07:33:44.750332+00:00
1749195225,331549,43.5140411,16.2502990,2025-06-06T07:33:45.000332+00:00
1749195225,250331405,43.5140412,16.2502991,2025-06-06T07:33:45.250331+00:00
1749195225,500331262,43.5140412,16.2502991,2025-06-06T07:33:45.500331+00:00
1749195225,750331118,43.5140413,16.2502992,2025-06-06T07:33:45.750331+00:00
1749195226,330975,43.5140413,16.2502994,2025-06-06T07:33:46.000331+00:00
1749195226,250330831,43.5140413,16.2502996,2025-06-06T07:33:46.250331+00:00
