mmsi,latitude,longitude,header_sec,header_nanosec,bag_name
238396340,43.515033333333335,16.231081666666668,1749303239,880137060,blue_lagoon_imu
232016168,43.40251166666667,16.148668333333333,1749303241,335966532,blue_lagoon_imu
238605740,43.46707166666667,16.201763333333332,1749303243,47471482,blue_lagoon_imu
538072144,43.39541833333333,16.189725,1749303245,367177023,blue_lagoon_imu
238066340,43.46154833333333,16.234768333333335,1749303248,678361433,blue_lagoon_imu
238396340,43.51503,16.231083333333334,1749303250,565985304,blue_lagoon_imu
538072144,43.39565833333333,16.18988,1749303254,885233935,blue_lagoon_imu
238066340,43.461376666666666,16.235071666666666,1749303256,996673063,blue_lagoon_imu
203245328,43.40978833333333,16.172578333333334,1749303257,396641368,blue_lagoon_imu
238702640,43.514671666666665,16.231603333333332,1749303257,796771398,blue_lagoon_imu
232016168,43.40213166666667,16.149628333333332,1749303272,225829974,blue_lagoon_imu
238605740,43.46664666666667,16.202403333333333,1749303272,785433104,blue_lagoon_imu
538072144,43.396118333333334,16.190208333333334,1749303276,512906677,blue_lagoon_imu
238702640,43.51466833333333,16.231606666666668,1749303277,344596008,blue_lagoon_imu
319051600,43.51007333333333,16.245855,1749303279,952138784,blue_lagoon_imu
238850640,43.43848666666667,16.188478333333332,1749303280,143935478,blue_lagoon_imu
238139440,43.435895,16.17289,1749303283,231525690,blue_lagoon_imu
203245328,43.40955833333334,16.173503333333333,1749303286,510867114,blue_lagoon_imu
238322040,43.514605,16.23168,1749303286,702931518,blue_lagoon_imu
238066340,43.46070666666667,16.236188333333335,1749303287,150822162,blue_lagoon_imu
238396340,43.51503,16.231073333333335,1749303290,301847201,blue_lagoon_imu
203247262,43.4085,16.1823,1749303294,893547481,blue_lagoon_imu
538072144,43.39655,16.190585,1749303296,733236692,blue_lagoon_imu
238322040,43.514605,16.231678333333335,1749303297,68975971,blue_lagoon_imu
238396340,43.51503,16.23108,1749303299,884438151,blue_lagoon_imu
238858440,43.45538166666667,16.243011666666668,1749303301,132187845,blue_lagoon_imu
232016168,43.401756666666664,16.150568333333332,1749303301,292143262,blue_lagoon_imu
238107340,43.45175666666667,16.22146,1749303303,291940563,blue_lagoon_imu
238066340,43.460226666666664,16.237025,1749303308,682123756,blue_lagoon_imu
238850640,43.43763166666667,16.187538333333332,1749303308,938275778,blue_lagoon_imu
238066340,43.46004833333333,16.237333333333332,1749303317,445143,blue_lagoon_imu
203245328,43.409308333333335,16.17449166666667,1749303317,400551619,blue_lagoon_imu
538072144,43.3973,16.191365,1749303332,277420564,blue_lagoon_imu
259018870,43.44013833333333,16.17386,1749303332,469882997,blue_lagoon_imu
238858440,43.454771666666666,16.243905,1749303332,758299932,blue_lagoon_imu
538072144,43.39737,16.191456666666667,1749303336,517207762,blue_lagoon_imu
238702640,43.51466,16.23159,1749303337,348826084,blue_lagoon_imu
538072144,43.397418333333334,16.191525,1749303339,236672420,blue_lagoon_imu
238396340,43.515033333333335,16.231061666666665,1749303339,716581576,blue_lagoon_imu
538072144,43.397468333333336,16.191591666666667,1749303342,403955781,blue_lagoon_imu
538072144,43.397533333333335,16.191683333333334,1749303345,827342396,blue_lagoon_imu
203245328,43.40907166666667,16.17542,1749303346,514439135,blue_lagoon_imu
238322040,43.514605,16.231681666666667,1749303346,706393681,blue_lagoon_imu
238702640,43.514665,16.231605,1749303347,794149163,blue_lagoon_imu
538072144,43.397578333333335,16.19175,1749303349,346020197,blue_lagoon_imu
238396340,43.51503,16.231063333333335,1749303350,305682463,blue_lagoon_imu
244029246,91.0,181.0,1749303350,705807901,blue_lagoon_imu
538072144,43.39762,16.191818333333334,1749303352,417259576,blue_lagoon_imu
203247262,43.40793333333333,16.184516666666667,1749303354,896809518,blue_lagoon_imu
238702640,43.514665,16.231598333333334,1749303357,632345205,blue_lagoon_imu
538072144,43.39771833333333,16.191975,1749303359,104075266,blue_lagoon_imu
538072144,43.397756666666666,16.192045,1749303362,591377028,blue_lagoon_imu
238605740,43.465325,16.20456666666667,1749303363,56032055,blue_lagoon_imu
538072144,43.39781166666667,16.19214,1749303366,142526332,blue_lagoon_imu
238322040,43.514601666666664,16.231685,1749303366,702499495,blue_lagoon_imu
238066340,43.458911666666665,16.239285,1749303368,670039355,blue_lagoon_imu
238850640,43.435865,16.18562,1749303368,941997546,blue_lagoon_imu
538072144,43.39785,16.192211666666665,1749303369,405763429,blue_lagoon_imu
238396340,43.51503666666667,16.23106,1749303370,563696270,blue_lagoon_imu
538072144,43.39791666666667,16.192361666666667,1749303374,899057850,blue_lagoon_imu
240696200,43.468925,16.185865,1749303375,458628021,blue_lagoon_imu
238066340,43.458733333333335,16.239583333333332,1749303376,994513680,blue_lagoon_imu
203245328,43.408825,16.176413333333333,1749303377,394318918,blue_lagoon_imu
238702640,43.514665,16.23164166666667,1749303377,794378361,blue_lagoon_imu
538072144,43.397965,16.192461666666667,1749303379,234082940,blue_lagoon_imu
238396340,43.51501833333333,16.231081666666668,1749303391,759402969,blue_lagoon_imu
238107340,43.44963166666667,16.22223,1749303392,495136949,blue_lagoon_imu
238858440,43.453625,16.245591666666666,1749303392,751088553,blue_lagoon_imu
238794340,43.51463,16.23429,1749303395,262847111,blue_lagoon_imu
238702640,43.51466,16.231611666666666,1749303397,342528178,blue_lagoon_imu
238066340,43.458275,16.240385,1749303397,534244168,blue_lagoon_imu
238396340,43.51503,16.23107,1749303399,709949125,blue_lagoon_imu
319051600,43.51007333333333,16.245855,1749303399,950138186,blue_lagoon_imu
240696200,43.46815,16.186463333333332,1749303405,692646543,blue_lagoon_imu
238322040,43.51459833333333,16.231688333333334,1749303406,700427807,blue_lagoon_imu
238702640,43.514671666666665,16.231566666666666,1749303407,801213077,blue_lagoon_imu
238066340,43.45803166666666,16.240806666666668,1749303408,569086042,blue_lagoon_imu
538072144,43.39821833333333,16.19318833333333,1749303409,320985956,blue_lagoon_imu
238396340,43.515033333333335,16.231068333333333,1749303410,296466464,blue_lagoon_imu
203247262,43.40735,16.186753333333332,1749303414,216016388,blue_lagoon_imu
238322040,43.514601666666664,16.23169,1749303417,79347680,blue_lagoon_imu
238066340,43.45783333333333,16.241146666666666,1749303417,367305467,blue_lagoon_imu
238702640,43.51466833333333,16.23158,1749303417,639222960,blue_lagoon_imu
238047840,43.51567,16.231001666666668,1749303418,135251247,blue_lagoon_imu
238396340,43.515026666666664,16.231085,1749303419,878924148,blue_lagoon_imu
319051600,43.51007333333333,16.245855,1749303421,318346182,blue_lagoon_imu
238529240,43.514493333333334,16.2362,1749303422,38139483,blue_lagoon_imu
538072144,43.398291666666665,16.193483333333333,1749303422,246259526,blue_lagoon_imu
238605740,43.464441666666666,16.206036666666666,1749303423,46126164,blue_lagoon_imu
238794340,43.51463666666667,16.2343,1749303426,197680177,blue_lagoon_imu
238322040,43.514605,16.231691666666666,1749303426,709406649,blue_lagoon_imu
238702640,43.514665,16.231593333333333,1749303427,845350958,blue_lagoon_imu
238066340,43.45759,16.24157,1749303428,677065572,blue_lagoon_imu
238850640,43.43403833333333,16.183763333333335,1749303428,949162915,blue_lagoon_imu
238396340,43.51502333333333,16.231076666666667,1749303430,436751095,blue_lagoon_imu
261002610,43.494455,16.20122,1749303433,619917162,blue_lagoon_imu
538072144,43.398345,16.19374,1749303434,883745775,blue_lagoon_imu
240696200,43.46736666666666,16.187058333333333,1749303435,587515797,blue_lagoon_imu
247413360,43.483731666666664,16.210173333333334,1749303435,763514057,blue_lagoon_imu
238322040,43.514601666666664,16.231691666666666,1749303437,235226945,blue_lagoon_imu
238702640,43.514665,16.231605,1749303437,795014006,blue_lagoon_imu
319051600,43.51007,16.245855,1749303440,66673980,blue_lagoon_imu
238396340,43.51503,16.231096666666666,1749303440,642602457,blue_lagoon_imu
203247262,43.40703666666667,16.187805,1749303443,266066068,blue_lagoon_imu
215791000,43.511071666666666,16.244386666666667,1749303446,593277755,blue_lagoon_imu
238702640,43.51466,16.231605,1749303447,953440179,blue_lagoon_imu
238066340,43.457161666666664,16.242331666666665,1749303448,593075760,blue_lagoon_imu
248000196,43.51247,16.23875,1749303451,536178062,blue_lagoon_imu
232016168,43.39987166666667,16.155445,1749303452,96154917,blue_lagoon_imu
238605740,43.46400666666667,16.206813333333333,1749303452,783989625,blue_lagoon_imu
238858440,43.45247666666667,16.247276666666668,1749303453,231880457,blue_lagoon_imu
238794340,43.51464333333333,16.234303333333333,1749303455,263440602,blue_lagoon_imu
319051600,43.51007333333333,16.245855,1749303457,295139803,blue_lagoon_imu
238066340,43.45695666666666,16.24267,1749303457,534851903,blue_lagoon_imu
538072144,43.39839666666666,16.19410166666667,1749303459,342592497,blue_lagoon_imu
238396340,43.51503,16.231086666666666,1749303459,710526974,blue_lagoon_imu
319051600,43.51007333333333,16.245855,1749303459,951132910,blue_lagoon_imu
238850640,43.433033333333334,16.182733333333335,1749303461,630774684,blue_lagoon_imu
538072144,43.398406666666666,16.194146666666665,1749303462,781913003,blue_lagoon_imu
238139440,43.435875,16.1729,1749303463,229941154,blue_lagoon_imu
538072144,43.398406666666666,16.194168333333334,1749303465,293388368,blue_lagoon_imu
240696200,43.466573333333336,16.187665,1749303465,565849037,blue_lagoon_imu
203245328,43.40776666666667,16.178958333333334,1749303466,621751994,blue_lagoon_imu
238066340,43.456723333333336,16.243086666666667,1749303468,573029357,blue_lagoon_imu
538072144,43.39841333333333,16.194208333333332,1749303468,892884332,blue_lagoon_imu
203247262,43.40667166666667,16.188926666666667,1749303474,219721713,blue_lagoon_imu
538072144,43.39841666666667,16.194281666666665,1749303476,731795590,blue_lagoon_imu
238066340,43.456518333333335,16.243426666666668,1749303477,371066150,blue_lagoon_imu
238702640,43.51466,16.231608333333334,1749303477,642882235,blue_lagoon_imu
238858440,43.451933333333336,16.24807,1749303481,162236013,blue_lagoon_imu
538072144,43.39841333333333,16.19434,1749303482,809909525,blue_lagoon_imu
238605740,43.46354,16.207568333333334,1749303483,50348967,blue_lagoon_imu
238107340,43.44741166666667,16.222311666666666,1749303483,290326904,blue_lagoon_imu
538072144,43.39841333333333,16.194368333333333,1749303486,137788315,blue_lagoon_imu
238066340,43.45628166666667,16.24384166666667,1749303488,681119901,blue_lagoon_imu
238850640,43.43221833333333,16.181885,1749303488,936737596,blue_lagoon_imu
